公司代號,公司名稱,營利事業統一編號
3622,洋華光電股份有限公司,80260061
3645,達邁科技股份有限公司,70776899
3653,健策精密工業股份有限公司,22415854
3661,世芯電子股份有限公司,31659649
3665,貿聯控股(BizLink Holding Inc.),26644007
3669,圓展科技股份有限公司,28428722
3673,"TPK Holding Co., Ltd.",31805657
3679,新至陞科技股份有限公司,36011776
3682,亞太電信股份有限公司,70771579
3686,達能科技股份有限公司,28823511
3694,海華科技股份有限公司,27667787
3698,隆達電子股份有限公司,28112694
3701,大眾全球投資控股股份有限公司,27242184
3702,大聯大投資控股股份有限公司,27928328
3703,欣陸投資控股股份有限公司,28993629
3704,合勤投資控股股份有限公司,28999503
3705,永信國際投資控股股份有限公司,53004906
3706,神達投資控股股份有限公司,53677966
3708,上緯國際投資控股股份有限公司,43238308
3711,日月光投資控股股份有限公司,29187308
3712,永崴投資控股股份有限公司,24813370
4104,佳醫健康事業股份有限公司,22854522
4106,雃博股份有限公司,23632773
4108,懷特生技新藥股份有限公司,16766281
4119,旭富製藥科技股份有限公司,22662545
4133,亞諾法生技股份有限公司,12974421
4137,麗豐股份有限公司,38488868
4141,龍燈環球農業科技有限公司,28999969
4142,國光生物科技股份有限公司,33259508
4144,康聯控股有限公司,26379324
4148,全宇生技控股有限公司,42527358
4155,訊映光電股份有限公司,27453928
4164,承業生醫投資控股股份有限公司,24483414
4190,佐登妮絲集團股份有限公司,47423851
4306,炎洲股份有限公司,35894259
4414,如興股份有限公司,49744324
4426,利勤實業股份有限公司,16229261
4438,廣越企業股份有限公司,89620361
4526,東台精機股份有限公司,88120872
4532,瑞智精密股份有限公司,23603284
4536,拓凱實業股份有限公司,52590175
4540,全球傳動科技股份有限公司,29168533
4545,銘鈺精密工業股份有限公司,12738623
4551,智伸科技股份有限公司,22363342
4552,力達控股有限公司,51016510
4555,台灣氣立股份有限公司,22301178
4557,永新控股股份有限公司,42323896
4560,強信機械科技股份有限公司,50721361
4562,穎漢科技股份有限公司,28919500
4564,元翎精密工業股份有限公司,23019109
4566,時碩工業股份有限公司,24262159
4720,德淵企業股份有限公司,4465521
4722,國精化學股份有限公司,75975242
4725,信昌化學工業股份有限公司,86120031
4737,華廣生技股份有限公司,80310225
4739,康普材料科技股份有限公司,86757124
4746,台耀化學股份有限公司,96922622
4755,三福化工股份有限公司,80170651
4763,濟南大自然新材料股份有限公司,42328858
4764,雙鍵化工股份有限公司,84754072
4766,南寶樹脂化學工廠股份有限公司,74229304
4807,日成控股股份有限公司,42485651
4904,遠傳電信股份有限公司,97179430
4906,正文科技股份有限公司,22960571
4912,聯德控股股份有限公司,26595630
4915,致伸科技股份有限公司,28006928
4916,事欣科技股份有限公司,13000192
4919,新唐科技股份有限公司,28112646
4927,泰鼎國際股份有限公司,54384828
4930,燦星網通股份有限公司,28986660
4934,太極能源科技股份有限公司,28675574
4935,茂林光電科技(開曼)股份有限公司,26797925
4938,和碩聯合科技股份有限公司,28689155
4942,嘉彰股份有限公司,22164527
4943,開曼康而富控股股份有限公司,26320984
